09/05;Journée de l'Europe
09/05;Journées du souvenir et de la réconciliation en l'honneur des morts de la Seconde Guerre mondiale
10/05;Journée commémorative de l'abolition de l'esclavage en France métropolitaine
10/05;Journée mondiale du lupus
11/05;Journée mondiale des éspèces menacées
12/05;Journée internationale de la santé des végétaux
12/05;Journée internationale des femmes en mathématiques
12/05;Journée mondiale de l'Encéphalomyélite Myalgique
12/05;Journée Mondiale de la fibromyalgie
12/05;Journée Internationale de l'infirmière
13/05;Journée mondiale de l'ingénierie pour l'avenir
13/05;Journée mondiale de la maladie cœliaque
14/05;Journée mondiale du commerce équitable
15/05;Journée internationale des objecteurs de conscience
15/05;Jour de l'orgue
15/05;Journée Internationale des familles
16/05;Journée internationale de la lumière
16/05;Journée internationale du vivre ensemble
17/05;Journée Mondiale contre l'hypertension
17/05;Journée Mondiale des Télécommunications
17/05;Journée internationale contre l'homophobie
18/05;Journée Internationale des musées
19/05;Journée mondiale des MICI
20/05;Journée mondiale de la métrologie
20/05;Journée européenne de la mer
20/05;Journée mondiale des abeilles
21/05;Journée internationale du thé
21/05;Journée mondiale des poissons migrateurs
21/05;Journée Mondiale de la diversité culturelle pour le dialogue et le développement
22/05;Journée Mondiale de la biodiversité
23/05;Journée (nationale) du marin
23/05;Journée mondiale de la tortue
24/05;Journée mondiale du bricolage
25/05;Journée mondiale de la serviette
25/05;Journée mondiale de la thyroïde
25/05;Journée internationale des Geek
25/05;Journée Mondiale des enfants disparus
25/05;Journée Mondiale de l'Afrique
27/05;Journée nationale de la résistance
28/05;Fête mondiale du jeu
28/05;Journée mondiale de l'hygiène menstruelle
28/05;Journée Internationale d'action pour la santé des femmes
29/05;Journée Internationale des casques bleus
29/05;Journée mondiale des communications sociales
30/05;Journée mondiale pour le droit aux origines
30/05;Journée mondiale de la sclérose en plaques
31/05;Journée Mondiale sans tabac
31/05;Journée mondiale de la loutre
01/06;Journée mondiale des parents
01/06;Semaine Nationale de sensibilisation à l'hémochromatose
01/06;Journée mondiale du lait
01/06;Journée mondiale de la course à pieds
02/06;Journée mondiale des TCA
